Micromonospora olivasterospora
Micromonospora viridifaciens
Streptomyces acrimycini
Streptomyces actuosus
Streptomyces albidoflavus
Streptomyces albogriseolus
Streptomyces albus
Streptomyces ambofaciens
Streptomyces antibioticus
Streptomyces antifibrinolyticus
Streptomyces anulatus
Streptomyces atratus
Streptomyces aureofaciens
Streptomyces avidinii
Streptomyces bikiniensis
Streptomyces carzinostaticus
Streptomyces cacaoi
Streptomyces cinnamonensis
Streptomyces clavuligerus
Streptomyces coelicolor
Streptomyces corchorusii
Streptomyces cyaneus
Streptomyces exfoliatus
Streptomyces fradiae
Streptomyces glaucescens
Streptomyces globisporus
Streptomyces griseolus
Streptomyces griseosporeus
Streptomyces griseus
Streptomyces hygroscopicus
Amycolatopsis lactamdurans
Streptomyces lavendulae
Streptomyces lincolnensis
Streptomyces lividans
Streptomyces macromomyceticus
Streptomyces malayensis
Streptomyces microflavus
Streptomyces nigrescens
Streptomyces olivaceoviridis
Streptomyces plicatus
Streptomyces phaeochromogenes
Streptomyces purpurascens
Streptomyces ramocissimus
Streptomyces reticuli
Streptomyces rimosus
Streptomyces rochei
Streptomyces rubiginosus
Streptomyces scabiei
Streptomyces sp.
Streptomyces tendae
Streptoalloteichus tenebrarius
Streptomyces thermovulgaris
Streptomyces violaceoruber
Streptomyces violaceus
Streptomyces viridochromogenes
Streptomyces albireticuli
Streptomyces badius
Streptomyces goshikiensis
Streptomyces griseoruber
Streptomyces halstedii
Streptomyces jumonjinensis
Streptomyces kasugaensis
Streptomyces limosus
Streptomyces longisporus
Streptomyces mycarofaciens
Streptomyces peucetius
Streptomyces purpureus
Streptomyces thermoviolaceus
Streptomyces brasiliensis
Streptomyces cinereus
Streptomyces diastaticus
Streptomyces sclerotialus
Streptomyces sp. K15
Streptomyces vinaceus
Streptomyces virginiae
Streptomyces olivochromogenes
Streptomyces espinosus
Streptomyces kanamyceticus
Streptomyces cellulosae
Streptomyces chartreusis
Streptomyces morookaense
Streptomyces noursei
Streptomyces roseiscleroticus
Actinomadura sp.
Actinomadura atramentaria
Actinomadura cremea
Actinomadura echinospora
Actinomadura madurae
Actinomadura rugatobispora
Microtetraspora glauca
Microtetraspora fusca
Planomonospora venezuelensis
Streptosporangium roseum
Streptosporangium amethystogenes
Thermobispora bispora
Nocardiopsis dassonvillei
Nocardiopsis prasina
Streptoalloteichus hindustanus
Thermomonospora curvata
Thermobifida fusca
Thermoactinomyces intermedius
Thermoactinomyces sp.
Thermoactinomyces vulgaris
Kibdelosporangium aridum
Microbacterium testaceum
Curtobacterium flaccumfaciens
Curtobacterium citreum
Tropheryma whipplei
Aeromicrobium erythreum
